"id","cowcode","location","latitude","longitude","asciiname","event_date","side","actors","issue","scope","part_violence","sec_engagement","numparticipants","avg_numparticipants","source","version"
4859,40,3553478,23.13302,-82.38304,"Havana",2010-03-18,0,"Cuban government supporters","against:protest of Ladies in White",0,1,NA,"hundreds",200,"Agence France Presse -- English",1
329328,40,3567713,23.14621,-82.2137,"Barreras",2022-09-30,1,"","against:delays in restoring electricity",0,NA,NA,"",NA,"Associated Press International",4
329324,40,3567655,22.71794,-82.28965,"Batabano",2022-09-29,1,"","against:electricity outages",0,NA,1,"dozens",25,"BBC Monitoring: International Reports",4
322784,40,3553478,23.13302,-82.38304,"Havana",2021-07-11,0,"","",0,NA,NA,"",NA,"BBC Monitoring: International Reports",4
322762,40,3553478,23.13302,-82.38304,"Havana",2021-07-11,1,"","",0,NA,NA,"",NA,"BBC Monitoring: International Reports",4
322991,40,3540885,22.89018,-82.50099,"San Antonio de los Banos",2021-07-11,1,"","",0,NA,NA,"",NA,"BBC Monitoring: International Reports",4
322824,40,3547398,23.04111,-81.5775,"Matanzas",2021-07-11,1,"","",0,NA,NA,"",NA,"BBC Monitoring: International Reports",4
322772,40,3547398,23.04111,-81.5775,"Matanzas",2021-07-11,1,"","",0,NA,NA,"",NA,"BBC Monitoring: International Reports",4
329274,40,3548993,22.58882,-83.24671,"Los Palacios",2022-07-14,1,"","against:Cuba's president;against:police;against:daily power cuts",0,NA,NA,"",NA,"BBC Monitoring: International Reports",4
7978,40,3553478,23.13302,-82.38304,"Havana",2019-05-11,1,"LGBT rights activists","for:LGBT rights",0,NA,2,"100",100,"Agence France Presse - English",4
7979,40,3553478,23.13302,-82.38304,"Havana",2019-05-11,1,"LGBTI rights activists","against:homophobia",0,NA,2,"",NA,"BBC Monitoring: International Reports",4
7977,40,3553478,23.13302,-82.38304,"Havana",2019-05-11,1,"gay rights activists","for:gay rights",0,NA,2,"",NA,"Associated Press International",4
173029,40,3553478,23.13302,-82.38304,"Havana",2020-11-27,1,"artists;intellectuals","for:greater freedom of expression;for:end to repression and harassment of independent artists",0,NA,NA,"300",300,"Agence France Presse - English",4
171161,40,3553478,23.13302,-82.38304,"Havana",2020-11-27,1,"actor Jorge Perugurría;director Fernando Pérez;eminist activist Dianelys Alfonso;playwright Yunior García","",0,NA,NA,"200",200,"Associated Press International",4
171160,40,3553478,23.13302,-82.38304,"Havana",2020-11-27,1,"","against:the authorities' treatment of the San Isidro movement of dissident artists and activists whose hunger strike was broken up by the police",0,0,NA,"300",300,"BBC Monitoring: International Reports",4
171157,40,3553478,23.13302,-82.38304,"Havana",2020-11-27,1,"artist Julio Llopiz-Casal","against:authorities clearing more than a dozen artists and activists from a home they have used as a center for anti-government protests and in support of rapper Denis Solis who was sentenced to eight months in jail after confronting a police officer;for:right to freedom of expression",0,NA,NA,"dozens",25,"Associated Press International",4
171159,40,3553478,23.13302,-82.38304,"Havana",2020-11-27,1,"","for:freedom of expression;for:dialogue with vice minister Fernando Rojas;for:information on the whereabouts of Otero and Ramos who were arrested during a protest;for:end to the harassment of artists",0,NA,1,"200",200,"Agence France Presse - English",4
173026,40,3553478,23.13302,-82.38304,"Havana",2020-11-27,1,"artists;supporters of the San Isidro Movement","for:freedom of creation and expression;for:right to openly disagree with state authorities;for:end to repression and harassment of independent artists;against:expulsion of members of the San Isidro Movement from their premise by the police during a protest",0,NA,NA,"300",300,"Agence France Presse - English",4
171163,40,3553478,23.13302,-82.38304,"Havana",2020-11-27,1,"artists","for:freedom of expression",0,NA,NA,"200",200,"Agence France Presse - English",4
171164,40,3553478,23.13302,-82.38304,"Havana",2020-11-27,1,"supporters of the San Isidro Movement","",0,NA,NA,"",NA,"BBC Monitoring: International Reports",4
173031,40,3553478,23.13302,-82.38304,"Havana",2020-11-27,1,"artists;intellectuals","for:greater freedom of expression",0,NA,NA,"300",300,"Agence France Presse - English",4
171162,40,3553478,23.13302,-82.38304,"Havana",2020-11-27,1,"","",0,NA,NA,"",NA,"BBC Monitoring: International Reports",4
173039,40,3553478,23.13302,-82.38304,"Havana",2020-11-27,1,"artists","for:greater freedom of expression",0,NA,NA,"300",300,"Agence France Presse - English",4
173027,40,3553478,23.13302,-82.38304,"Havana",2020-11-29,0,"President Miguel Diaz-Canel;young people","for:rally in defense of the socialist revolution;against:protest of the San Isidro movement allegedly staged by the Trump administration in front of the Department of Culture",0,NA,NA,"several hundred",200,"Agence France Presse - English",4
322645,40,3553478,23.13302,-82.38304,"Havana",2021-01-27,1,"artists","against:government censure;against:persecution against independent and dissident artists",0,NA,2,"",NA,"BBC Monitoring: International Reports",4
