revid,nameofrevolution,location,worldregion,startdatetxt,startdate,startyear,enddatetxt,enddate,endyear,yrsduration,monthsduration,daysduration,ongoing,startprior1900,fiveyrperiodstr,uncode,cowcode,cowmetrocode,unmetrocode,isoabb,indstate,colony,stateterr,foroccup,externalwar,electoralrev,politreform,urbmixrur,urbandum,leftist,antimonarch,democrat,independ,anticolonial,separatist,islamist,ethnicorder,eliterivalry,rightwing,anticommunist,othergoal,armed,civilwar,armednocivwar,urbanarmed,riots,landseizures,demonstrations,strikes,civilresistance,urbancivic,coupvolution,urbanleftist,ruralleftist,otherrural,otherurban,particnum,merchants,middleclass,intelligentsia,youth,peasants,gentry,workers,urbanpoor,business,clergy,soldiers,ethnicgroups,otherpart,totaldeaths,logdeaths,lndeaths,deathavgperyr,deathscat,ongoing,success,attainedpower,oldoverthrown,endproc,died
342,Philippine-American War,American-occupied Philippines,Asia,"June 2, 1899",6/2/1899,1899,"July 4, 1902",04/07/1902,1902,4,38,1128,0,1,,608,840,2,840,PHL,0,1,0,1,1,0,0,R,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100000,0,0,1,1,1,1,0,0,0,0,0,1,1,226165,5.354425,12.32902,56541.2,6,0,0,,0,1,1
344,Dervish Rebellion,British-controlled Somalia,Sub-Saharan Africa,August 1899,8/1/1899,1899,"February 9, 1920",09/02/1920,1920,21,246,7483,0,1,,706,520,200,826,SOM,0,1,0,1,0,0,0,R,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20000,0,0,0,0,1,1,0,0,0,1,0,1,1,100000,5,11.512925,4761.9,6,0,0,0,0,4,1
352,War of the Golden Stool,British-controlled Ghana,Sub-Saharan Africa,"March 28, 1900",28/03/1900,1900,"September 30, 1900",30/09/1900,1900,1,7,187,0,0,1900-04,288,452,200,826,GHA,0,1,0,1,0,0,0,R,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12000,0,0,0,0,1,1,0,0,0,1,0,1,1,3000,3.477121,8.006368,3000,4,0,0,1,0,4,1
348,Huizhou Uprising,China,Asia,"October 8, 1900",08/10/1900,1900,"October 23, 1900",23/10/1900,1900,1,1,16,0,0,1900-04,156,710,,,CHN,1,0,0,0,0,0,0,R,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20000,0,0,1,0,1,0,0,0,0,0,0,1,1,,,,,,0,0,0,0,1,1
253,Liberating Revolution,Venezuela,Latin America/Carribean,October 1901,01/10/1901,1901,"July 21, 1903",21/07/1903,1903,2,22,659,0,0,1900-04,862,101,,,VEN,1,0,0,1,0,0,0,R,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20000,0,0,0,0,1,0,0,0,1,0,1,0,1,12000,4.079181,9.392662,6000,5,0,0,0,0,4,1
341,Moro Wars,American-occupied Philippines,Asia,November 1901,15/11/1901,1901,"June 15, 1913",15/06/1913,1913,12,140,4231,0,0,1900-04,608,840,2,840,PHL,0,1,0,1,1,0,0,R,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,0,0,0,0,1,1,0,0,0,1,0,1,1,20218,4.305738,9.914329,1684.8,5,0,0,0,0,4,1
283,Ilinden Revolt,Ottoman Empire-controlled Macedonia,Europe,"July 20, 1903",20/07/1903,1903,"September 19, 1903",19/09/1903,1903,1,3,62,0,0,1900-04,807,343,640,792,MKD,0,1,0,0,0,0,0,RU,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,1,1,1,0,0,0,0,0,0,1,1,4694,3.671543,8.45404,4694,4,0,0,0,0,4,1
2,Herero Rebellion,German-controlled Southwest Africa,Sub-Saharan Africa,"January 4, 1904",04/01/1904,1904,"March 31, 1907",31/03/1907,1907,4,39,1183,0,0,1900-04,516,565,255,276,NAM,0,1,0,0,0,0,0,R,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10000,0,0,0,0,1,0,0,0,0,0,0,1,0,55000,4.740362,10.915088,13750,6,0,0,0,0,4,1
381,Sasun Uprising,Ottoman-controlled Armenia,Middle East/North Africa,"January 17, 1904",17/01/1904,1904,"May 14, 1904",14/05/1904,1904,1,4,119,0,0,1900-04,51,371,640,792,ARM,0,0,1,0,0,0,0,R,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,0,0,1,1,1,0,0,0,0,1,0,1,1,5500,3.740363,8.612503,5500,4,0,0,0,0,4,1
305,Vaccine Revolt,Brazil,Latin America/Carribean,"November 5, 1904",05/11/1904,1904,"November 16, 1904",16/11/1904,1904,1,1,12,0,0,1900-04,76,140,,,BRA,1,0,0,0,0,0,0,U,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,,0,1,1,0,0,0,1,0,0,0,1,0,1,30,1.477121,3.401197,30,2,0,0,0,0,1,1
